address;available;building_material;building_type;construction_status;district;equipment_dishwasher;equipment_fridge;equipment_oven;equipment_stove;equipment_tv;equipment_washing_machine;extras_air_conditioning;extras_balcony;extras_basement;extras_furniture;extras_garage;extras_garden;extras_lift;extras_separate_kitchen;extras_swimming_pool;extras_terrace;extras_two_storey;extras_usable_room;floor_num;heating;id;latitude;link;longitude;market;media_cable-television;media_internet;media_phone;ownership;page_views;price;price_currency;publicated;rent;rooms;security_alarm;security_anti_burglary_door;security_closed_area;security_entryphone;security_monitoring;security_roller_shutters;security_security;surface;updated;window;year_of_construction
Warszawa, Mokotów, Huculska;.;brick;.;to_completion;Mokotów;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1 (z 6);.;55607520;52.2011444;https://www.otodom.pl/oferta/mieszkanie-90-28-m-warszawa-ID3Lk3u.html;21.0280057;primary;1;1;0;full_ownership;122;1128500;PLN;06.09.2018;811 z³;2;0;0;0;0;0;0;0;90.28;06.09.2018;wooden;2017
Warszawa, Stara Mi³osna,  Dworkowa 10;2 Sierpnia 2018;.;row_house;.;Stara Mi³osna;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;1;parter (z 2);.;55120956;52.21917;https://www.otodom.pl/oferta/mieszkanie-dwupoziomowe-z-ogrodkiem-i-garazem-ID3JhtG.html;21.2352;secondary;1;1;0;full_ownership;1999;510000;PLN;ponad 14 dni temu;260 z³;3;0;1;1;1;0;0;0;106;09.09.2018;.;2008
Warszawa, M³ynów, œw. Stanis³awa;.;.;apartment;.;M³ynów;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;5 (z 6);urban;55605872;52.2463922;https://www.otodom.pl/oferta/mieszkanie-62-m-warszawa-ID3LjCU.html;20.9642937;secondary;0;0;0;full_ownership;119;620000;PLN;06.09.2018;.;2;0;0;1;1;0;0;0;62;06.09.2018;plastic;2016
Warszawa, Bródno, Chodecka;.;concrete_plate;block;to_renovation;Bródno;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2 (z 4);urban;55536880;52.309999237061;https://www.otodom.pl/oferta/mieszkanie-47-m-warszawa-ID3L1G8.html;21.050000915527;secondary;1;0;1;.;265;325000;PLN;03.09.2018;.;3;0;0;0;0;0;0;0;47;07.09.2018;.;1970
Warszawa, ¯oliborz, Krasiñskiego;.;.;block;.;¯oliborz;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;parter (z 4);urban;55568520;52.2671722;https://www.otodom.pl/oferta/mieszkanie-66-m-warszawa-ID3L9Us.html;20.9804729;secondary;0;0;0;cooperative_ownership;167;629000;PLN;04.09.2018;.;3;0;0;0;1;0;0;0;66;04.09.2018;plastic;1960
Warszawa, Wilanów,  Aleja Rzeczypospolitej;.;reinforced_concrete;block;to_completion;Wilanów;1;1;1;1;0;0;1;1;0;1;1;0;1;0;0;1;0;0;2 (z 4);urban;49200656;52.165783746866936;https://www.otodom.pl/oferta/mieszkanie-warszawa-wilanow-ul-rzeczypospolitej-ID3krkY.html;21.069915855541993;primary;1;1;0;.;260;1230000;PLN;ponad 14 dni temu;.;4;0;0;1;1;1;0;0;104.28;28.08.2018;plastic;2017
Warszawa, Bia³o³êka,  P³ochociñska;.;other;apartment;to_completion;Bia³o³êka;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;3 (z 4);.;55261464;52.32899;https://www.otodom.pl/oferta/dwupoziomowe-mieszkanie-w-rewelacyjnej-cenie-ID3JS1V.html;21.00768;primary;0;0;0;full_ownership;406;468700;PLN;ponad 14 dni temu;.;5;0;1;1;1;0;0;0;92.4;ponad 14 dni temu;.;2017
Warszawa, Wilanów;.;.;apartment;.;Wilanów;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;2 (z 4);.;55252596;52.15935;https://www.otodom.pl/oferta/80-mkw-przestrzeni-wygody-potrzebnej-ci-do-zycia-ID3JPIU.html;21.07775;secondary;0;1;0;full_ownership;680;749000;PLN;ponad 14 dni temu;490 z³;3;0;0;0;0;0;0;0;80;ponad 14 dni temu;wooden;2011
Warszawa, Grochów, Augustyna Kordeckiego;.;.;.;.;Grochów;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1 (z 3);urban;55092512;52.23614;https://www.otodom.pl/oferta/3-pokoje-alarm-winda-garaz-podziemny-ID3Ja4U.html;21.00817;secondary;1;1;1;full_ownership;635;550000;PLN;ponad 14 dni temu;650 z³;3;0;0;0;0;1;0;0;73;30.08.2018;plastic;2009
Warszawa, Bielany;.;concrete_plate;block;to_renovation;Bielany;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;parter (z 10);urban;55030980;52.29359;https://www.otodom.pl/oferta/przytulne-2-osobne-pokoje-do-wlasnej-aranzacji-ID3IU4s.html;20.92645;secondary;1;1;1;.;516;285000;PLN;ponad 14 dni temu;330 z³;2;0;0;0;0;0;0;0;34;ponad 14 dni temu;plastic;1976
Warszawa, W³ochy,  Potrzebna;.;other;apartment;to_completion;W³ochy;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;5 (z 5);.;55511796;52.2124006;https://www.otodom.pl/oferta/dojazd-do-centrum-w-12-minut-piekna-okolica-ID3KW9y.html;20.9217771;primary;0;0;0;full_ownership;270;999000;PLN;31.08.2018;.;4;0;1;1;1;1;0;0;125.9;01.09.2018;.;.
Warszawa, Mokotów;.;.;.;to_completion;Mokotów;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5 (z 7);.;54677180;52.17745064;https://www.otodom.pl/oferta/mokotow-dla-ciebie-lub-pod-inwestycje-ID3Hq20.html;20.99444032;primary;0;0;0;full_ownership;6324;461895;PLN;ponad 14 dni temu;.;2;0;0;0;0;0;0;0;55.65;01.09.2018;.;2019
Warszawa, Nowa Praga,  Stalowa;.;other;apartment;to_completion;Nowa Praga;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1 (z 6);.;55586364;52.2610724;https://www.otodom.pl/oferta/wyjatkowy-klimat-praskich-kamienic-blisko-metro-ID3Leyg.html;21.0431214;primary;0;0;0;full_ownership;140;290400;PLN;05.09.2018;.;1;0;1;0;1;0;0;0;30.57;06.09.2018;.;.
Warszawa, Wola;.;concrete_plate;block;to_renovation;Wola;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;> 10 (z 15);urban;55238328;52.23338;https://www.otodom.pl/oferta/kawalerka-27-m2-w-centrum-ID3JM0M.html;20.95718;secondary;0;0;0;cooperative_ownership;413;330000;PLN;ponad 14 dni temu;.;1;0;0;0;0;1;0;0;27;ponad 14 dni temu;.;1974
Warszawa, Bemowo, Borowego;.;concrete_plate;block;ready_to_use;Bemowo;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;2 (z 10);.;55642900;52.2299598;https://www.otodom.pl/oferta/mieszkanie-61-m-warszawa-ID3Ltg8.html;20.910354;secondary;1;1;0;.;85;525000;PLN;08.09.2018;500 z³;3;0;0;0;0;0;0;0;61;08.09.2018;plastic;1986
Warszawa, Bia³o³êka,  K¹ty Grodziskie;.;.;apartment;to_completion;Bia³o³êka;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;parter (z 2);.;55627476;52.3326536;https://www.otodom.pl/oferta/cicha-i-spokojna-okolica-super-cena-ID3Lpfm.html;21.055613;primary;0;0;0;.;89;233294;PLN;07.09.2018;.;2;0;0;0;1;0;0;0;34.82;07.09.2018;.;.
