Borough;City;Neighbourhood;Street;available;building_material;building_type;construction_status;district;equipment_dishwasher;equipment_fridge;equipment_oven;equipment_stove;equipment_tv;equipment_washing_machine;extras_air_conditioning;extras_balcony;extras_basement;extras_furniture;extras_garage;extras_garden;extras_lift;extras_separate_kitchen;extras_swimming_pool;extras_terrace;extras_two_storey;extras_usable_room;heating;latitude;link;longitude;market;media_cable-television;media_internet;media_phone;orig_street;ownership;page_views;price;price_currency;publicated;rent;rooms;security_alarm;security_anti_burglary_door;security_closed_area;security_entryphone;security_monitoring;security_roller_shutters;security_security;surface;updated;window;year_of_construction;Neighbourhood_filled;appartment_floor_no;building_floor_no;price_per_sqm;age;age_mean;age_mode;age_median;age_random;Id
bemowo;warszawa;jelonki pó³nocne;gen. meriana c. coopera;.;missing;block;to_completion;.;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;missing;52.23824636958341;https://www.otodom.pl/oferta/piekne-mieszkanie-czteropokojowe-ID3KOLK.html;20.89285767354126;primary;0;0;0;True;missing;232;835560.0;PLN;12;.;4;0;0;0;0;0;0;0;93;5;missing;.;jelonki pó³nocne;3;3;8984.516129032258;1.0;1.0;1.0;1.0;1.0;55487256
wawer;warszawa;miêdzylesie;obiegowa;.;brick;apartment;ready_to_use;.;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;gas;52.2100789;https://www.otodom.pl/oferta/miedzylesie-apartament-162-m2-z-ogrodkiem-ID3Lo2s.html;21.187428;secondary;1;1;1;True;full_ownership;106;875000.0;PLN;3;.;3;0;0;1;1;0;0;0;162;3;plastic;1998;miêdzylesie;groundfloor;2;5401.234567901234;21.0;21.0;21.0;21.0;21.0;55622832
mokotów;warszawa;sielce;czerniakowska;.;other;block;to_renovation;.;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;urban;52.217999084473;https://www.otodom.pl/oferta/ciche-dwupokojowe-mieszkanie-na-mokotowie-ID3KZGY.html;21.05799923706;secondary;0;0;0;True;missing;319;358000.0;PLN;8;.;2;0;0;1;0;0;0;0;38;3;missing;1972;sielce;1;10;9421.052631578947;47.0;47.0;47.0;47.0;47.0;55529244
wilanów;warszawa;zawady;zaœciankowa;.;missing;apartment;to_completion;.;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;urban;52.1688399;https://www.otodom.pl/oferta/nowoczesny-apartament-w-kameralnej-zabudowie-ID3K6Hi.html;21.1158806;primary;0;0;0;True;full_ownership;305;554000.0;PLN;15;.;3;0;0;1;1;1;0;0;61;4;missing;.;zawady;1;2;9081.967213114754;1.0;1.0;1.0;1.0;1.0;55317844
bia³o³êka;warszawa;tarchomin;.;.;missing;block;ready_to_use;.;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;urban;52.3220076;https://www.otodom.pl/oferta/dwupoziomowe-wygodne-dla-rodziny-ID3L29u.html;20.9524834;secondary;1;1;0;False;full_ownership;221;595000.0;PLN;7;1200.0;5;0;0;0;0;1;0;0;147;7;plastic;1997;tarchomin;3;3;4047.6190476190477;22.0;22.0;22.0;22.0;22.0;55538700
bemowo;warszawa;.;.;.;missing;block;to_completion;.;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;missing;52.23306066637582;https://www.otodom.pl/oferta/metro500m-20-teraz-reszta-przy-odbiorze-okazja-ID3KtE4.html;20.92964056084484;primary;1;1;1;False;missing;309;456318.0;PLN;15;.;3;0;0;0;1;1;0;0;55;12;plastic;.;bemowo;3;missing;8296.690909090908;1.0;1.0;1.0;1.0;1.0;55406056
bia³o³êka;warszawa;kobia³ka;zdziarska;.;other;apartment;to_completion;.;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;missing;52.3407138;https://www.otodom.pl/oferta/nowoczesna-inwestycja-blisko-zieleni-super-cena-ID3K5RV.html;21.054724;primary;0;0;0;True;full_ownership;386;397308.0;PLN;15;.;3;0;1;1;1;1;0;0;63;15;missing;2018;kobia³ka;1;2;6306.476190476191;1.0;1.0;1.0;1.0;1.0;55314660
¿oliborz;warszawa;.;.;.;brick;tenement;ready_to_use;.;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;urban;52.26971;https://www.otodom.pl/oferta/klimatyczne-w-kamienicy-blisko-metra-ID3JQoE.html;20.98462;secondary;0;0;0;False;full_ownership;624;415000.0;PLN;15;300.0;1;0;0;0;0;0;0;0;34;7;plastic;1950;¿oliborz;2;3;12205.882352941177;69.0;69.0;69.0;69.0;69.0;55255184
ursus;warszawa;czechowice;ochocka;.;other;apartment;to_completion;.;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;missing;52.1878631;https://www.otodom.pl/oferta/garaz-w-cenie-mieszkania-promocja-ID3L8FC.html;20.8755655;primary;0;0;0;True;missing;170;423962.0;PLN;6;.;3;0;1;0;1;1;0;0;65;2;missing;2017;czechowice;2;3;6522.492307692308;2.0;2.0;2.0;2.0;2.0;55563756
mokotów;warszawa;.;.;.;missing;apartment;missing;.;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;urban;52.182248;https://www.otodom.pl/oferta/apartament-mokotow-130m2-22m2-balkonu-ID3JEc8.html;21.03195;primary;0;0;0;False;full_ownership;358;1349000.0;PLN;15;.;4;0;0;0;0;0;0;0;130;3;wooden;2018;mokotów;1;2;10376.923076923076;1.0;1.0;1.0;1.0;1.0;55208280
¿oliborz;warszawa;sady ¿oliborskie;w³adys³awa broniewskiego;.;missing;block;to_renovation;.;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;urban;52.268191;https://www.otodom.pl/oferta/sady-zoliborskie-stacja-metro-marymont-ID3LfJy.html;20.9585716;secondary;1;1;0;True;cooperative_ownership;347;420000.0;PLN;5;600.0;4;0;0;0;0;0;0;0;57;3;plastic;1969;sady ¿oliborskie;5;10;7368.421052631579;50.0;50.0;50.0;50.0;50.0;55590908
