available;building_material;building_type;construction_status;district;equipment_dishwasher;equipment_fridge;equipment_oven;equipment_stove;equipment_tv;equipment_washing_machine;extras_air_conditioning;extras_balcony;extras_basement;extras_furniture;extras_garage;extras_garden;extras_lift;extras_separate_kitchen;extras_swimming_pool;extras_terrace;extras_two_storey;extras_usable_room;floor_num;heating;latitude;link;longitude;market;media_cable-television;media_internet;media_phone;ownership;page_views;price;price_currency;publicated;rent;rooms;security_alarm;security_anti_burglary_door;security_closed_area;security_entryphone;security_monitoring;security_roller_shutters;security_security;surface;updated;window;year_of_construction;Borough;City;Neighbourhood;Street;orig_street;Id
.;.;apartment;.;bemowo;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;2 (z 7);.;52.24091;https://www.otodom.pl/oferta/trzy-pokoje-w-apartamentowcu-z-2012roku-na-bemowie-ID3J5NC.html;20.91133;secondary;0;0;0;.;467;559000;PLN;ponad 14 dni temu;550 z³;3;0;0;0;0;0;0;0;63.2;08.09.2018;plastic;.;bemowo;warszawa;.;.;False;55076064
.;brick;apartment;.;bemowo;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;4 (z 10);.;52.243815;https://www.otodom.pl/oferta/mieszkanie-46-91-m-warszawa-ID3Km72.html;20.9123535;secondary;0;0;0;.;560;515000;PLN;ponad 14 dni temu;570 z³;2;0;0;0;0;0;0;0;46.91;ponad 14 dni temu;.;2017;bemowo;warszawa;lotnisko;powstañców œl¹skich;True;55377100
.;brick;.;to_completion;œródmieœcie;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;parter (z 4);urban;52.2201353;https://www.otodom.pl/oferta/mieszkanie-53-m-warszawa-ID3Iy92.html;21.0118582;secondary;0;0;0;cooperative_ownership_with_mortgage_register;681;683000;PLN;ponad 14 dni temu;.;2;0;0;0;0;0;0;0;53;06.09.2018;plastic;1928;œródmieœcie;warszawa;œródmieœcie po³udniowe;plac politechniki;False;54946696
.;reinforced_concrete;apartment;to_completion;wola;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;1;0;1;8 (z 27);urban;52.230094458766246;https://www.otodom.pl/oferta/wolamieszkania-z-widokiem-na-centrum-warszawy-ID3H7Sc.html;20.961943603210447;primary;1;1;1;.;1166;670000;PLN;ponad 14 dni temu;.;4;0;1;0;1;1;0;0;85;04.09.2018;.;2018;wola;warszawa;odolany;kasprzaka marcina;False;54607380
7 Sierpnia 2018;.;apartment;.;wilanów;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3 (z 4);.;52.16308;https://www.otodom.pl/oferta/designerski-apartament-z-tarasem-bliski-wilanow-ID3JxEc.html;21.07397;secondary;0;0;0;full_ownership;792;920000;PLN;ponad 14 dni temu;.;3;0;0;0;0;0;0;0;82;06.09.2018;.;2010;wilanów;warszawa;wilanów królewski;sarmacka;True;55183112
.;.;.;to_completion;grochów;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;3 (z 5);.;52.2453919;https://www.otodom.pl/oferta/mieszkanie-40-89-m-warszawa-ID3L50s.html;21.0845187;primary;0;0;0;.;126;337342;PLN;03.09.2018;.;2;0;0;0;0;0;0;0;40.89;03.09.2018;.;.;praga po³udnie;warszawa;grochów;wiatraczna;True;55549672
.;.;block;.;bia³o³êka;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3 (z 3);urban;52.316954;https://www.otodom.pl/oferta/mieszkanie-72-m-warszawa-ID3L9Vk.html;21.0592891;secondary;0;0;0;full_ownership;132;479000;PLN;04.09.2018;680 z³;3;0;0;1;1;0;0;0;72;04.09.2018;plastic;2003;bia³o³êka;warszawa;dworska;skarbka z gór;True;55568636
.;brick;block;.;mokotów;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2 (z 6);.;52.1778122;https://www.otodom.pl/oferta/3-pokoje-z-balkonem-klimatyzacja-mokotow-ID3Iut6.html;20.9934427;secondary;0;0;0;full_ownership;310;884000;PLN;ponad 14 dni temu;530 z³;3;0;0;0;0;0;0;0;72;08.09.2018;plastic;2012;mokotów;warszawa;s³u¿ewiec;wynalazek;True;54932564
15 Sierpnia 2018;.;block;ready_to_use;bia³o³êka;1;1;1;1;1;1;0;1;0;1;1;0;1;1;0;0;0;0;parter (z 2);urban;52.32899;https://www.otodom.pl/oferta/3-pokoje-umeblowane-bialoleka-ID3K0DG.html;21.00768;secondary;1;1;1;full_ownership;3109;350000;PLN;ponad 14 dni temu;542 z³;3;0;0;1;1;1;0;0;57;06.09.2018;plastic;2010;bia³o³êka;warszawa;grodzisk;pod³u¿na;True;55294556
20 Lipca 2018;.;.;.;¿oliborz;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;> 10 (z 21);.;52.28233;https://www.otodom.pl/oferta/super-widok-panorama-2-pokoje-z-widna-kuchnia-ID3IB72.html;20.97851;secondary;0;0;0;cooperative_ownership;481;442862;PLN;ponad 14 dni temu;.;2;0;0;0;0;0;0;0;45.19;ponad 14 dni temu;.;1988;bielany;warszawa;marymont-ruda;gwiaŸdzista;True;54958104
